"","follower_count","following_count","like_count","retweet_count","Num_Syllables","Avg_Syllables","Avg_Words_in_Sentences","Flesh.Kincaid","Num_Big_words","Num_Long_Sentences","Num_Sentences","Num_Short_Sentences","Num_Urls","Num_words","Rate_Adv_adj","class","polarity","subjectibity"
"47",7041608,4594,75,8,44,2.2222222222,9,14.1422222222,10,0,2,1,1,18,0.0555555556,"real",0.116071428571429,0.473214285714286
"48",1113108,1736,11,4,18,2.2,9,14.27,5,0,1,0,1,10,0,"real",0,0
"49",4265003,518,36,13,43,1.8947368421,18,14.1778947368,8,0,1,0,1,19,0.1052631579,"real",0,0
"50",831685,176,30,5,37,1.7692307692,12,10.3569230769,3,0,1,0,1,13,0.0769230769,"real",0,0
"51",831684,176,51,8,48,2.1052631579,18,16.6621052632,7,0,1,0,1,19,0.0526315789,"real",0,0
"52",12616689,61,22,11,19,1.5833333333,10,7.7733333333,4,0,1,0,2,12,0.0833333333,"real",0,0.05
"53",4265003,518,47,8,41,2.4615384615,6,15.9911538462,7,0,2,1,1,13,0.0769230769,"real",0.357142857142857,0.571428571428571
"54",12616791,61,22,4,37,2.3125,15,17.9375,7,0,1,0,1,16,0,"real",0.357142857142857,0.571428571428571
"55",12616791,61,91,32,39,1.8571428571,20,14.5142857143,6,0,1,0,1,21,0.1428571429,"real",-0.075,0.591666666666667
"56",831684,176,23,4,32,1.7826086957,22,14.4147826087,5,0,1,0,1,23,0,"real",0,0.0625
"57",831684,176,19,4,48,2.5,19,21.71,8,0,1,0,1,20,0.1,"real",0,0
"58",7041608,4594,115,17,36,1.7619047619,20,13.3904761905,6,0,1,0,1,21,0.0476190476,"real",0,0
"59",4265003,518,20,8,49,2.4285714286,6.5,15.7971428571,3,0,2,0,1,14,0,"real",0,0
"60",1113108,1736,5,0,22,2.05,19,16.4,8,0,1,0,1,20,0.15,"real",0,0.1
"61",1113108,1736,3,1,41,2.1666666667,5,12.3166666667,1,0,1,1,1,6,0,"real",0.175,0.375
"62",1113108,1736,13,5,46,1.5,10.5,6.4,6,0,2,0,1,22,0.0454545455,"real",0.116071428571429,0.348214285714286
"63",1113108,1736,19,7,38,2,10,12.3,4,0,1,0,1,11,0.0909090909,"real",0.166666666666667,0.166666666666667
"64",1113108,1736,2,2,26,2.5555555556,9,18.0755555556,6,0,2,1,1,18,0.0555555556,"real",0,0
"65",4265003,518,148,39,43,2.0454545455,21,17.1263636364,7,0,1,0,1,22,0.1818181818,"real",0.166666666666667,0.208333333333333
"66",1113108,1736,11,4,38,2.6666666667,4,17.6316666667,4,0,2,2,1,9,0.1111111111,"real",-0.0518518518518519,0.42962962962963
"67",4265003,518,41,16,22,2.2666666667,7,14.0816666667,6,0,2,1,1,15,0.0666666667,"real",-0.4,0.7
"68",428743,852,4,2,40,2.0909090909,7.6666666667,11.9427272727,7,0,3,2,1,22,0.0454545455,"real",0.166666666666667,0.166666666666667
"69",831684,176,24,8,41,2.2631578947,18,18.5252631579,9,0,1,0,1,19,0.1052631579,"real",0.119047619047619,0.31547619047619
"70",1113109,1736,13,4,43,1.4444444444,4,3.2094444444,0,0,2,2,1,9,0,"real",0,0.1
"71",831684,176,30,6,45,1.9,9,10.73,6,0,1,0,1,10,0,"real",0.25,0.45
"72",7041608,4594,130,21,21,1.75,9.5,8.96,6,0,2,1,1,20,0.05,"real",0.1,0.1
"73",12616791,61,57,22,50,1.7619047619,20,13.3904761905,5,0,1,0,1,21,0.0952380952,"real",-0.533333333333333,0.716666666666667
"74",1113108,1736,21,14,26,1.75,5.5,7.4,3,0,2,1,1,12,0.0833333333,"real",0,0
"75",1113108,1736,7,3,34,1.9230769231,4,8.7923076923,2,0,3,2,1,13,0.0769230769,"real",-0.65,0.75
"76",1113108,1736,13,3,40,2.2352941176,8,14.1014705882,8,0,2,1,1,17,0.2352941176,"real",0,0
"77",428743,852,15,3,22,3.1111111111,17,28.1411111111,8,0,1,0,1,18,0.1111111111,"real",-0.8,1
"78",831684,176,0,165,56,2.1111111111,8,12.8311111111,3,0,1,1,1,9,0.1111111111,"real",0,0.166666666666667
"79",428743,852,6,1,39,2.3684210526,18,19.7673684211,9,0,1,0,1,19,0.1052631579,"real",0.05,0.271428571428571
"80",4265003,518,50,12,41,2.5,15,20.15,9,0,1,0,1,16,125,"real",-0.875,0.666666666666667
"81",210973,263,462,239,18,1.7692307692,12,10.3569230769,2,0,1,0,1,13,0.1538461538,"real",0,0
"82",12616791,61,63,11,47,2.2380952381,7.3333333333,13.5495238095,8,0,3,3,1,21,0.0952380952,"real",0,0
"83",210973,263,4,1,16,2.2,9,14.27,5,0,1,0,1,10,0,"real",-0.1,0.3
"84",1113108,1736,17,4,47,2.2857142857,6,14.1114285714,3,0,1,1,1,7,0.1428571429,"real",0.0625,0.291666666666667
"85",831684,176,60,8,34,2.3333333333,11,16.6233333333,5,0,1,0,1,12,0,"real",0.1,0.2
"86",26341732,71,0,123,60,1.8181818182,10,10.1545454545,1,0,1,0,1,11,0.0909090909,"real",0.5,0.5
"87",1113108,1736,9,2,44,3.4,9,28.43,4,0,1,0,1,10,0.1,"real",-0.8,1
"88",12616790,61,75,22,28,2,19,15.81,8,0,1,0,1,20,0.05,"real",0,0
"89",210973,263,5,5,20,4.4375,5.6666666667,38.8525,10,0,3,3,0,16,125,"real",-0.1,0.1
"90",1113108,1736,18,8,38,1.9166666667,10,11.7066666667,6,0,1,0,2,12,0,"real",0.225,0.8
"91",1113108,1736,6,4,32,2375,7.5,15555,6,0,2,1,1,16,0.0625,"real",-0.05,0.4
"92",1113108,1736,3,0,14,1.5555555556,8,6.2755555556,0,0,1,1,1,9,0,"real",0,0
"93",1113108,1736,9,4,36,2.4285714286,6.5,15.7971428571,9,0,2,1,1,14,0.2142857143,"real",-0.9,1
"94",12616790,61,36,23,25,2.1578947368,18,17.2831578947,8,0,1,0,1,19,0.0526315789,"real",0,0
"95",7041608,4594,82,24,40,2.2777777778,17,18.3077777778,8,0,1,0,1,18,0.1111111111,"real",0,0.125
"96",4265003,518,28,10,27,1.9523809524,20,15.6380952381,5,0,1,0,1,21,0.0476190476,"real",0,0
"97",7041608,4594,60,13,48,2.8235294118,16,24.3576470588,10,0,1,0,1,17,0,"real",0.357142857142857,0.571428571428571
"98",12616791,61,22,2,40,1.5909090909,21,11.7627272727,4,0,1,0,1,22,0.0909090909,"real",0,0
"99",831684,176,21,5,42,3,11,24.49,5,0,1,0,1,12,0.0833333333,"real",0,0
